,Agricultural Management,Agricultural Management,Agricultural Management,Agricultural Management,Agricultural Management,Agricultural Management,SUM
,dry,dry,dry,irr,irr,irr,
,TCO2E_Asparagopsis taxiformis,TCO2E_Precision Agriculture,TCO2E_Ecological Grazing,TCO2E_Asparagopsis taxiformis,TCO2E_Precision Agriculture,TCO2E_Ecological Grazing,
Apples,0.0,-9.076472,0.0,0.0,-3.3592873,0.0,-12.43576
Beef - modified land,0.0,-17803.611,-1279865.4,0.0,-794.47125,-465.44913,-1298929.0
Beef - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citrus,0.0,-72.80149,0.0,0.0,-93.37774,0.0,-166.17923
Cotton,0.0,-2626.1975,0.0,0.0,-3613.8838,0.0,-6240.081
Dairy - modified land,0.0,-207.84729,-4214.387,0.0,-122.94756,-33.441467,-4578.6235
Dairy - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grapes,0.0,-478.67404,0.0,0.0,-162.12068,0.0,-640.79474
Hay,0.0,-1845.2583,0.0,0.0,-242.49179,0.0,-2087.75
Nuts,0.0,-15.358474,0.0,0.0,-9.7805605,0.0,-25.139034
Other non-cereal crops,0.0,-120.1339,0.0,0.0,-164.66376,0.0,-284.79767
Pears,0.0,-2.4308698,0.0,0.0,-2.1977851,0.0,-4.628655
Plantation fruit,0.0,-6.290537,0.0,0.0,-27.165289,0.0,-33.455826
Rice,0.0,-109.70123,0.0,0.0,-11.148514,0.0,-120.84975
Sheep - modified land,0.0,-6864.6006,-413023.78,0.0,-990.1111,0.0,-420878.5
Sheep - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone fruit,0.0,-40.859844,0.0,0.0,-153.43704,0.0,-194.29689
Sugar,0.0,-4851.1294,0.0,0.0,-3082.2961,0.0,-7933.426
Summer cereals,0.0,-3738.8003,0.0,0.0,-30.458574,0.0,-3769.2588
Summer legumes,0.0,-211.69395,0.0,0.0,-25.965572,0.0,-237.65953
Summer oilseeds,0.0,-112.32567,0.0,0.0,0.0,0.0,-112.32567
Tropical stone fruit,0.0,-19.544987,0.0,0.0,-32.27158,0.0,-51.816566
Unallocated - modified land,0.0,-4925.9873,-79.7313,0.0,-206.57431,0.0,-5212.293
Unallocated - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetables,0.0,-284.55115,0.0,0.0,-225.82182,0.0,-510.373
Winter cereals,0.0,-77087.164,0.0,0.0,-269.9036,0.0,-77357.07
Winter legumes,0.0,-2399.7527,0.0,0.0,-17.74721,0.0,-2417.5
Winter oilseeds,0.0,-2384.4678,0.0,0.0,-18.811197,0.0,-2403.279
SUM,0.0,-126218.26,-1697183.2,0.0,-10301.007,-498.8906,-1834201.4
