,Apples (None),Beef - modified land (None),Beef - modified land (Ecological Grazing),Beef - natural land (None),Citrus (None),Cotton (None),Dairy - modified land (None),Dairy - modified land (Ecological Grazing),Dairy - natural land (None),Grapes (None),Hay (None),Nuts (None),Other non-cereal crops (None),Pears (None),Plantation fruit (None),Rice (None),Sheep - modified land (None),Sheep - modified land (Ecological Grazing),Sheep - natural land (None),Stone fruit (None),Sugar (None),Summer cereals (None),Summer legumes (None),Summer oilseeds (None),Tropical stone fruit (None),Unallocated - modified land (None),Unallocated - natural land (None),Vegetables (None),Winter cereals (None),Winter legumes (None),Winter oilseeds (None),All
Apples (None),40,17,0,0,0,0,3,0,0,0,5,0,0,1,0,1,20,0,0,0,0,0,0,0,5,10,0,3,2,3,1,117
Beef - modified land (None),31,190704,41581,0,17,155,1222,0,0,107,2240,119,154,1,90,30,11670,0,0,5,551,1319,78,91,0,7414,0,231,3474,579,1851,324423
Beef - modified land (Ecological Grazing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef - natural land (None),0,0,0,566892,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,75698,0,0,0,0,642609
Citrus (None),0,7,0,0,194,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,57,0,0,1,4,0,274
Cotton (None),0,0,0,0,0,5329,130,0,0,1,53,0,12,0,0,0,1,0,0,0,0,0,0,0,0,135,0,0,6,0,0,5698
Dairy - modified land (None),2,528,0,0,0,0,19609,70,0,0,54,29,28,0,6,33,1787,0,0,0,0,3,0,0,1,38,0,17,62,4,19,25966
Dairy - modified land (Ecological Grazing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dairy - natural land (None),0,0,0,3,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1645
Grapes (None),0,60,0,0,0,0,3,0,0,1517,5,0,4,0,0,0,64,0,0,0,0,0,0,0,0,219,0,0,4,20,0,1920
Hay (None),1,1968,0,0,10,12,358,0,0,31,6531,0,54,0,2,75,5726,0,0,1,0,15,2,0,9,202,0,32,418,7,118,17696
Nuts (None),0,2,0,0,0,0,8,0,0,0,0,329,0,0,0,0,110,0,0,0,0,0,0,0,0,88,0,0,5,9,0,552
Other non-cereal crops (None),2,46,0,0,0,2,19,0,0,0,24,3,508,0,1,20,248,0,0,0,1,8,3,8,0,179,0,5,42,0,11,1451
Pears (None),0,7,0,0,0,0,0,0,0,0,1,0,0,8,0,0,7,0,0,0,0,0,0,0,3,0,0,0,1,0,0,27
Plantation fruit (None),0,2,0,0,0,0,2,0,0,0,0,0,0,0,42,2,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,185
Rice (None),0,0,0,0,51,0,0,0,0,54,9,0,0,0,0,302,1,0,0,0,0,0,0,0,0,280,0,0,74,7,0,785
Sheep - modified land (None),0,277,0,0,0,0,378,0,0,0,707,0,145,0,0,1,159474,18542,0,21,0,0,0,0,0,5443,0,404,1741,2103,3255,207275
Sheep - modified land (Ecological Grazing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheep - natural land (None),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187644,0,0,0,0,0,0,0,37735,0,0,0,0,225379
Stone fruit (None),3,44,0,0,0,2,10,0,0,18,12,0,0,0,0,0,20,0,0,178,0,1,0,1,0,77,0,12,3,2,11,446
Sugar (None),0,0,0,0,0,0,97,0,0,0,0,0,0,0,2,14,0,0,0,0,4486,0,0,0,0,2,0,0,0,0,0,4654
Summer cereals (None),0,0,0,0,8,3,415,0,0,66,39,0,5,0,0,13,68,0,0,0,1,5256,0,1,0,11,0,0,13,0,2,6612
Summer legumes (None),0,1,0,0,2,16,70,0,0,15,49,0,0,0,1,4,64,0,0,0,0,28,198,0,0,107,0,0,17,0,6,1129
Summer oilseeds (None),0,5,0,0,1,0,19,0,0,4,22,0,8,0,0,0,59,0,0,0,0,5,0,199,0,17,0,0,8,0,0,430
Tropical stone fruit (None),0,12,0,0,0,0,3,0,0,0,9,1,0,0,6,6,0,0,0,0,1,0,19,0,17,95,0,0,0,2,0,230
Unallocated - modified land (None),0,4916,0,0,0,1203,200,0,0,241,333,0,276,1,2,66,22982,1,0,141,0,0,0,0,27,60946,0,58,648,17,187,111771
Unallocated - natural land (None),0,0,0,316,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,8870,0,0,0,0,0,0,0,2387234,0,0,0,0,2397890
Vegetables (None),2,187,0,0,12,0,108,0,0,29,154,1,16,0,1,11,181,0,0,0,0,2,37,0,1,286,0,137,37,15,1,1409
Winter cereals (None),0,1136,0,0,0,0,652,0,0,1,26,1,183,0,0,49,12077,0,0,0,0,0,0,0,3,126,0,33,169647,40,0,194009
Winter legumes (None),0,256,0,0,0,10,216,0,0,0,148,0,24,0,0,8,3640,0,0,0,0,0,0,0,0,216,0,1,175,14269,0,22429
Winter oilseeds (None),0,2391,0,0,0,1,24,0,0,0,4,0,7,0,0,11,3265,0,0,0,0,0,0,0,2,6,0,3,2,31,11482,21722
All,81,202566,41581,567211,295,6733,23546,70,3118,2084,10425,483,1424,11,153,648,221469,18543,196525,346,5040,6637,337,300,68,76014,2500669,936,176380,17112,16944,4218733
