,Apples,Beef - modified land,Beef - natural land,Citrus,Cotton,Dairy - modified land,Dairy - natural land,Grapes,Hay,Nuts,Other non-cereal crops,Pears,Plantation fruit,Rice,Sheep - modified land,Sheep - natural land,Stone fruit,Sugar,Summer cereals,Summer legumes,Summer oilseeds,Tropical stone fruit,Unallocated - modified land,Unallocated - natural land,Vegetables,Winter cereals,Winter legumes,Winter oilseeds,Environmental Plantings,Total
Apples,40,17,0,0,0,3,0,0,5,0,0,1,0,1,20,0,0,0,0,0,0,5,10,0,3,2,3,1,6,117
Beef - modified land,31,232285,0,17,155,1222,0,107,2240,119,154,1,90,30,11670,0,5,551,1319,78,91,0,7414,0,231,3474,579,1851,60709,324423
Beef - natural land,0,0,566892,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,75698,0,0,0,0,0,642609
Citrus,0,7,0,194,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,57,0,0,1,4,0,4,274
Cotton,0,0,0,0,5329,130,0,1,53,0,12,0,0,0,1,0,0,0,0,0,0,0,135,0,0,6,0,0,31,5698
Dairy - modified land,2,528,0,0,0,19679,0,0,54,29,28,0,6,33,1787,0,0,0,3,0,0,1,38,0,17,62,4,19,3676,25966
Dairy - natural land,0,0,3,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1645
Grapes,0,60,0,0,0,3,0,1517,5,0,4,0,0,0,64,0,0,0,0,0,0,0,219,0,0,4,20,0,24,1920
Hay,1,1968,0,10,12,358,0,31,6531,0,54,0,2,75,5726,0,1,0,15,2,0,9,202,0,32,418,7,118,2124,17696
Nuts,0,2,0,0,0,8,0,0,0,329,0,0,0,0,110,0,0,0,0,0,0,0,88,0,0,5,9,0,1,552
Other non-cereal crops,2,46,0,0,2,19,0,0,24,3,508,0,1,20,248,0,0,1,8,3,8,0,179,0,5,42,0,11,321,1451
Pears,0,7,0,0,0,0,0,0,1,0,0,8,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,27
Plantation fruit,0,2,0,0,0,2,0,0,0,0,0,0,42,2,0,0,0,0,0,0,0,0,60,0,0,0,0,0,77,185
Rice,0,0,0,51,0,0,0,54,9,0,0,0,0,302,1,0,0,0,0,0,0,0,280,0,0,74,7,0,7,785
Sheep - modified land,0,277,0,0,0,378,0,0,707,0,145,0,0,1,178016,0,21,0,0,0,0,0,5443,0,404,1741,2103,3255,14784,207275
Sheep - natural land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187644,0,0,0,0,0,0,0,37735,0,0,0,0,0,225379
Stone fruit,3,44,0,0,2,10,0,18,12,0,0,0,0,0,20,0,178,0,1,0,1,0,77,0,12,3,2,11,52,446
Sugar,0,0,0,0,0,97,0,0,0,0,0,0,2,14,0,0,0,4486,0,0,0,0,2,0,0,0,0,0,53,4654
Summer cereals,0,0,0,8,3,415,0,66,39,0,5,0,0,13,68,0,0,1,5256,0,1,0,11,0,0,13,0,2,711,6612
Summer legumes,0,1,0,2,16,70,0,15,49,0,0,0,1,4,64,0,0,0,28,198,0,0,107,0,0,17,0,6,551,1129
Summer oilseeds,0,5,0,1,0,19,0,4,22,0,8,0,0,0,59,0,0,0,5,0,199,0,17,0,0,8,0,0,83,430
Tropical stone fruit,0,12,0,0,0,3,0,0,9,1,0,0,6,6,0,0,0,1,0,19,0,17,95,0,0,0,2,0,59,230
Unallocated - modified land,0,4916,0,0,1203,200,0,241,333,0,276,1,2,66,22983,0,141,0,0,0,0,27,60946,0,58,648,17,187,19526,111771
Unallocated - natural land,0,0,316,0,0,0,1470,0,0,0,0,0,0,0,0,8870,0,0,0,0,0,0,0,2387234,0,0,0,0,0,2397890
Vegetables,2,187,0,12,0,108,0,29,154,1,16,0,1,11,181,0,0,0,2,37,0,1,286,0,137,37,15,1,191,1409
Winter cereals,0,1136,0,0,0,652,0,1,26,1,183,0,0,49,12077,0,0,0,0,0,0,3,126,0,33,169647,40,0,10035,194009
Winter legumes,0,256,0,0,10,216,0,0,148,0,24,0,0,8,3640,0,0,0,0,0,0,0,216,0,1,175,14269,0,3466,22429
Winter oilseeds,0,2391,0,0,1,24,0,0,4,0,7,0,0,11,3265,0,0,0,0,0,0,2,6,0,3,2,31,11482,4493,21722
Environmental Plantings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,81,244147,567211,295,6733,23616,3118,2084,10425,483,1424,11,153,648,240012,196525,346,5040,6637,337,300,68,76014,2500669,936,176380,17112,16944,120984,4218733
